email,address
ldenesik@pollich.com	0xb63bf7ee011a1f502c76b1337433aae2c1f09b1e
dgusikowski@gmail.com	0x7eec48d43fac9e60d49bba8756fd965aa6942997
heather.stroman@kunde.com	0x7349bd4082b787266a701693c894a28f353a8ec7
tgoldner@parker.com	0xfe3cda57c7065263a30dd25cfaf517e61c1f5298
hstiedemann@yahoo.com	0x55f45d2ba40ec99351a4b20bcf69279e1d6a1589
fhill@yahoo.com	0xb1b0cca51a6156383d0e6a5e4afca1898f846fd0
lonnie.watsica@gmail.com	0xeeeeb3a4baf317854bcf457a5ae2c6291b402790
betsy.kuhlman@corwin.com	0x97bb27bfc1cc8e7e64764f05de3db2e09af2192f
natasha25@gmail.com	0x60c21ad1d7efdb37026ac12c71b1d3902632b99f
dessie262@yahoo.com	0xff9cb281a6dc04faf6b60e810f65c1bb66021f6b
